,timestamp,sho_count
575969,2020-02-18,0
575968,2020-02-19,0
575967,2020-02-20,0
575966,2020-02-21,0
575965,2020-02-24,0
575964,2020-02-25,0
42298,2020-02-26,1
42299,2020-02-26,2
44344,2020-02-27,3
44345,2020-02-27,4
46148,2020-02-28,5
46149,2020-02-28,6
2984,2020-03-02,7
2985,2020-03-02,8
4642,2020-03-03,9
4643,2020-03-03,10
575963,2020-03-04,0
575962,2020-03-05,0
575961,2020-03-06,0
575960,2020-03-09,0
575959,2020-03-10,0
575958,2020-03-11,0
575957,2020-03-12,0
575956,2020-03-13,0
575955,2020-03-16,0
575954,2020-03-17,0
575953,2020-03-18,0
575952,2020-03-19,0
575951,2020-03-20,0
575950,2020-03-23,0
575949,2020-03-24,0
575948,2020-03-25,0
575947,2020-03-26,0
575946,2020-03-27,0
575945,2020-03-30,0
575944,2020-03-31,0
575943,2020-04-01,0
575942,2020-04-02,0
575941,2020-04-03,0
575940,2020-04-06,0
575939,2020-04-07,0
575938,2020-04-08,0
575937,2020-04-09,0
575936,2020-04-13,0
575935,2020-04-14,0
575934,2020-04-15,0
575933,2020-04-16,0
575932,2020-04-17,0
575931,2020-04-20,0
575930,2020-04-21,0
575929,2020-04-22,0
575928,2020-04-23,0
575927,2020-04-24,0
575926,2020-04-27,0
575925,2020-04-28,0
575924,2020-04-29,0
575923,2020-04-30,0
575922,2020-05-01,0
575921,2020-05-04,0
575920,2020-05-05,0
575919,2020-05-06,0
575918,2020-05-07,0
575917,2020-05-08,0
575916,2020-05-11,0
575915,2020-05-12,0
575914,2020-05-13,0
575913,2020-05-14,0
575912,2020-05-15,0
575911,2020-05-18,0
575910,2020-05-19,0
575909,2020-05-20,0
575908,2020-05-21,0
575907,2020-05-22,0
575906,2020-05-26,0
575905,2020-05-27,0
575904,2020-05-28,0
575903,2020-05-29,0
575902,2020-06-01,0
575901,2020-06-02,0
575900,2020-06-03,0
575899,2020-06-04,0
575898,2020-06-05,0
575897,2020-06-08,0
575896,2020-06-09,0
575895,2020-06-10,0
575894,2020-06-11,0
575893,2020-06-12,0
575892,2020-06-15,0
575891,2020-06-16,0
575890,2020-06-17,0
575889,2020-06-18,0
575888,2020-06-19,0
575887,2020-06-22,0
575886,2020-06-23,0
575885,2020-06-24,0
575884,2020-06-25,0
575883,2020-06-26,0
575882,2020-06-29,0
575881,2020-06-30,0
575880,2020-07-01,0
575879,2020-07-02,0
575878,2020-07-06,0
575877,2020-07-07,0
575876,2020-07-08,0
575875,2020-07-09,0
575874,2020-07-10,0
575873,2020-07-13,0
575872,2020-07-14,0
575871,2020-07-15,0
575870,2020-07-16,0
575869,2020-07-17,0
575868,2020-07-20,0
575867,2020-07-21,0
575866,2020-07-22,0
575865,2020-07-23,0
575864,2020-07-24,0
575863,2020-07-27,0
575862,2020-07-28,0
575861,2020-07-29,0
575860,2020-07-30,0
575859,2020-07-31,0
575858,2020-08-03,0
575857,2020-08-04,0
575856,2020-08-05,0
575855,2020-08-06,0
575854,2020-08-07,0
575853,2020-08-10,0
575852,2020-08-11,0
575851,2020-08-12,0
575850,2020-08-13,0
575849,2020-08-14,0
575848,2020-08-17,0
575847,2020-08-18,0
575846,2020-08-19,0
575845,2020-08-20,0
575844,2020-08-21,0
575843,2020-08-24,0
575842,2020-08-25,0
575841,2020-08-26,0
575840,2020-08-27,0
575839,2020-08-28,0
575838,2020-08-31,0
575837,2020-09-01,0
575836,2020-09-02,0
575835,2020-09-03,0
575834,2020-09-04,0
575833,2020-09-08,0
575832,2020-09-09,0
575831,2020-09-10,0
575830,2020-09-11,0
575829,2020-09-14,0
575828,2020-09-15,0
575827,2020-09-16,0
575826,2020-09-17,0
575825,2020-09-18,0
575824,2020-09-21,0
575823,2020-09-22,0
575822,2020-09-23,0
575821,2020-09-24,0
575820,2020-09-25,0
575819,2020-09-28,0
575818,2020-09-29,0
575817,2020-09-30,0
575816,2020-10-01,0
575815,2020-10-02,0
575814,2020-10-05,0
575813,2020-10-06,0
575812,2020-10-07,0
575811,2020-10-08,0
575810,2020-10-09,0
